gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
HNRNPU,0.271436031,9.414200794,2.458405373,0.034594888,0.121021979,-4.666956699
PGLS,-0.438954337,5.72312349,-2.538249684,0.030232216,0.109938641,-4.667550389
CYFIP2,0.430106722,6.258765273,2.545843404,0.029846897,0.108878422,-4.668068729
TARDBP,0.22431176,7.483654804,2.528401331,0.030739313,0.111265156,-4.66828511
ATXN7L2,-0.537536517,3.223379445,-2.365311253,0.04047169,0.135880819,-4.668481236
SHANK3,0.343733873,3.036016622,2.348668199,0.041621186,0.138783257,-4.669475976
IL12A,-0.55807713,0.079370208,-1.955248625,0.080131514,0.22024494,-4.67044788
PRKCA,-0.291298309,8.156053655,-2.504025183,0.03203108,0.114467129,-4.672861217
LINC00632,0.834409354,1.943609054,2.205261863,0.052940742,0.16517993,-4.673366338
MRPS27,-0.310962408,5.884394864,-2.537859127,0.030252167,0.109958212,-4.674371783
LMO3,0.938819782,1.413616789,2.131413319,0.059881946,0.179705364,-4.67632234
FZD1,0.295763161,4.796724394,2.500625349,0.032215477,0.11498998,-4.676592537
ATMIN,-0.226341296,6.681958751,-2.538443674,0.030222311,0.109929105,-4.678314092
C12orf61,0.436817271,1.047696915,2.082975546,0.064901298,0.189971902,-4.678811607
SLC2A4,-0.7009152,-0.338487577,-1.896538096,0.088211758,0.236343005,-4.679404477
F2R,0.264915974,5.989722287,2.536759413,0.030308413,0.11008793,-4.680170762
UTP14A,0.476548506,4.91486543,2.503570756,0.032055666,0.114527877,-4.680779939
C5orf51,-0.302899546,5.84404585,-2.532907559,0.030506244,0.110588799,-4.681517883
RP1-193H18.2,-0.402238756,2.657175592,-2.291226606,0.045839429,0.149126334,-4.682322681
ATF6,0.221198353,6.518458443,2.537421572,0.030274534,0.11001302,-4.682565904
MAGI3,0.439193185,5.876340756,2.533338172,0.030484065,0.110561498,-4.682655607
TP53INP2,-0.649785626,3.850591794,-2.420737083,0.036863947,0.126824317,-4.685685384
RP11-182J1.16,0.57027037,-0.131664522,1.920172524,0.084871214,0.229831957,-4.685933469
SLC4A1AP,-0.321109217,5.175014392,-2.510059074,0.031706394,0.113582244,-4.688040982
HARS,-0.264130282,6.22472542,-2.533478609,0.030476834,0.110561498,-4.688344706
MCF2L-AS1,-0.457558601,2.145354103,-2.222383238,0.051446149,0.162023705,-4.688361899
RNF8,0.275496363,4.193651752,2.454126788,0.034845512,0.121729463,-4.689440352
TRAK1,0.226733043,6.432639695,2.533390964,0.030481346,0.110561498,-4.68976476
TCF7L2,0.364371645,4.110742156,2.446258308,0.035311112,0.122929253,-4.691254646
RP11-477N3.1,-0.609888899,-0.001016162,-1.930345316,0.083470174,0.226615518,-4.691371411
SERPINE1,0.662040002,0.744094605,2.032157219,0.070598465,0.201625572,-4.691408293
UBP1,0.285894807,5.967162433,2.529380286,0.03068853,0.111116183,-4.691911822
C1orf43,-0.354624258,7.003882775,-2.525175507,0.030907244,0.111640307,-4.691979269
HIST2H4A,0.819104002,8.493959026,2.479140867,0.033405308,0.118064419,-4.693103328
ALG1,-0.390794702,4.917118308,-2.495241763,0.032509622,0.115766158,-4.693263897
TPM1,-0.469242159,6.633955526,-2.528303045,0.030744417,0.111265156,-4.694620765
RP11-849I19.1,-0.365388381,4.669071545,-2.480867405,0.033308104,0.117886477,-4.695456554
ZCCHC3,-0.45449768,5.234830668,-2.507059994,0.031867365,0.113990019,-4.695542414
SEPT8,-0.247497785,7.509537055,-2.510024971,0.03170822,0.113582244,-4.697357536
DCK,0.26759061,4.745608464,2.48538594,0.033055032,0.117155601,-4.697465224
WNT5A,-0.443831602,3.323391114,-2.359909448,0.040841324,0.13681753,-4.698901377
DGKD,0.265919387,5.055527085,2.49967682,0.03226711,0.115092633,-4.698927269
RP11-20I23.13,0.559243265,-0.024574618,1.9254799,0.084137531,0.228181105,-4.699014753
PAQR4,0.637212957,6.191067256,2.526136508,0.030857121,0.111485935,-4.699170098
C5orf34,0.397624843,4.450487451,2.466189088,0.034143508,0.119859595,-4.699236306
C1GALT1C1,0.332984369,3.863570577,2.419518255,0.036939768,0.127007534,-4.70002123
AATK,0.505093516,0.423512633,1.98330486,0.076520933,0.213706472,-4.700439374
RNF180,-0.593816079,4.854923238,-2.485387457,0.033054947,0.117155601,-4.702285799
NOD1,0.421343153,3.626831059,2.394554487,0.038526957,0.13116022,-4.70229491
ARID5A,-0.392548353,4.526905422,-2.467677432,0.034057864,0.11961458,-4.702595736
BPNT1,-0.411069547,4.7311922,-2.479345485,0.033393774,0.118064419,-4.703340691
PPAP2C,-0.566107738,5.55904203,-2.511760498,0.031615431,0.113379169,-4.703786184
BRINP3,-0.216080975,6.74282112,-2.521369423,0.031106553,0.112131654,-4.705673479
CKS1B,0.340831487,5.63744388,2.514632136,0.031462493,0.113021583,-4.706163702
LSR,0.585851562,0.684821982,2.014122952,0.07273231,0.205636678,-4.707079028
FUCA1,0.458010154,2.64092436,2.276428723,0.046992045,0.151835864,-4.707638594
RPL27A,-0.376160727,8.260376377,-2.478728854,0.033428546,0.118091249,-4.708458523
PRUNE2,0.468292782,6.438453529,2.519718582,0.031193398,0.112324508,-4.711585119
FKBP9,-0.418584248,7.626565605,-2.497496908,0.032386084,0.115462432,-4.712104737
CYP1A1,1.02166961,0.854787032,2.030189633,0.070828351,0.202012459,-4.712360432
CEL,0.548027831,0.322708205,1.961405958,0.079325627,0.218547653,-4.712921793
SIDT2,-0.423330665,4.072131666,-2.427394845,0.036452479,0.125713998,-4.71312505
PLEKHH3,-0.327097432,4.966075635,-2.485927689,0.033024818,0.117103507,-4.713313166
RPL22L1,-0.375293506,3.205696214,-2.337667684,0.04239847,0.140633493,-4.714068308
MRO,-0.891940981,-0.180567819,-1.888722045,0.08934328,0.238142691,-4.714762726
MRPL15,-0.418089654,5.157419571,-2.49197342,0.032689493,0.116187401,-4.71605994
PDCD4-AS1,-0.58912319,0.894169433,-2.031965202,0.070620868,0.201630794,-4.71641931
BHLHE40,0.410235412,4.709685562,2.471104177,0.033861486,0.119118885,-4.717210984
PMP22,-0.413774493,5.296672166,-2.496309398,0.032451078,0.11566683,-4.717530106
NELFE,0.362917874,6.283019151,2.516354927,0.031371093,0.112753496,-4.717656751
ZNF33A,0.464086681,5.388287443,2.500240497,0.032236416,0.115037519,-4.718155072
PSME4,-0.344714263,6.946855974,-2.510049061,0.03170693,0.113582244,-4.718931818
SAR1A,-0.209167898,6.633683362,-2.514503241,0.031469342,0.113021583,-4.719051846
CLDND1,0.346835354,5.284885402,2.495714607,0.032483681,0.115728383,-4.720271749
IPO9,-0.233579713,8.039249636,-2.47944275,0.033388292,0.118064419,-4.720561169
MAD2L2,0.486089709,6.33586201,2.513293167,0.031533712,0.113171989,-4.722311474
PLXND1,0.458758833,4.764780356,2.470001377,0.033924562,0.119257398,-4.723797248
SNX32,-0.794745085,1.349086414,-2.086401553,0.064533432,0.189483011,-4.724981453
OLFML2A,0.819441834,3.299677717,2.341704304,0.042111609,0.13998563,-4.725939375
PTP4A1,0.411635645,6.067456197,2.509778176,0.031721436,0.113602629,-4.726179421
HDAC4,0.284253049,5.264202631,2.491279062,0.032727833,0.116247412,-4.726548352
RPS18,-0.497947579,8.868089903,-2.444060587,0.035442252,0.123158561,-4.727116797
RBM24,-0.722763353,-0.084955365,-1.894434663,0.088514946,0.236735137,-4.727438156
SERTAD3,-0.369645055,4.180210353,-2.427031128,0.03647484,0.125762383,-4.729176126
RP11-144G6.12,0.425977824,1.867298564,2.161717332,0.056933548,0.173478382,-4.730587311
GALC,-0.282393539,4.657888564,-2.459428347,0.034535231,0.120953436,-4.730747362
RAB42,-0.947909578,-0.875080369,-1.78947342,0.104935416,0.265905674,-4.733124359
ZBTB46,0.36816542,4.840275963,2.468430876,0.03401459,0.119490397,-4.733496897
SLC9A9,-0.285024819,4.024351827,-2.41120849,0.037460816,0.128370264,-4.735193787
EHD2,-0.679081067,2.615548374,-2.250012938,0.049120129,0.156924519,-4.735716381
RP11-443B20.1,0.347327055,2.845247967,2.284734672,0.046341656,0.150145375,-4.735823967
KTN1-AS1,-0.464571623,1.39439419,-2.090196677,0.06412826,0.188660316,-4.73614348
STYX,-0.382413598,3.531046993,-2.360630668,0.040791782,0.136699018,-4.736856731
TMEM205,-0.534672944,4.997331207,-2.471352994,0.033847271,0.119118885,-4.737515777
TGFA,1.234181686,3.85739326,2.384214699,0.039203844,0.13283547,-4.738096487
RP11-84A19.4,0.98788877,-0.389235699,1.849715136,0.095195347,0.24868357,-4.738823756
TMEM87A,-0.213790481,5.415468565,-2.487922323,0.032913811,0.11679219,-4.739474115
RNF175,-0.480281179,2.342308255,-2.21423973,0.05215186,0.163461861,-4.74177068
NDUFS5,-0.331816902,6.619169642,-2.499889916,0.032255503,0.115078425,-4.743005532
BCAT2,-0.318106819,4.1489348,-2.416223665,0.037145489,0.127492304,-4.743590808
TNFSF13B,-0.688522925,-0.430920432,-1.836359977,0.097279508,0.252612107,-4.74727323
TMEM87B,-0.4043944,4.605050161,-2.444775353,0.035399549,0.123066832,-4.748476772
PARVA,-0.393163803,4.197120531,-2.416034513,0.037157334,0.127503968,-4.749139874
GPM6B,-0.252255817,8.551367569,-2.443043052,0.035503132,0.123307339,-4.749879166
RP11-356J5.12,0.444615535,1.768827693,2.136068324,0.059419685,0.178556729,-4.750248821
CTD-2192J16.20,-0.386314276,1.488640739,-2.094163902,0.063707315,0.187751254,-4.751282762
KCNK9,0.576528467,1.43595319,2.087630498,0.064401961,0.189281075,-4.753596697
DAB2IP,0.436746425,6.503366604,2.493210671,0.032621286,0.116026934,-4.755513271
hsa-mir-1199,-0.434061889,2.416540001,-2.215320349,0.052057677,0.163336237,-4.755883989
ASXL2,-0.33220633,6.339321408,-2.492522403,0.032659211,0.11610711,-4.756912278
RP11-617F23.1,-0.529533707,3.313016774,-2.32168517,0.04355316,0.143388211,-4.757252126
ZBTB43,-0.272055222,5.620278647,-2.482020722,0.033243327,0.117740035,-4.758394645
RUSC1-AS1,0.525998883,0.960996355,2.01803222,0.072264626,0.204493981,-4.759412983
MTRNR2L2,-0.671906686,3.002606688,-2.278353517,0.046840539,0.151534062,-4.762337377
AF127936.7,-0.500879346,1.44788547,-2.079327051,0.065295257,0.190826225,-4.762630278
FOXO4,0.50313117,3.243967046,2.315032929,0.04404278,0.14477913,-4.763132532
ATAD1,-0.31591897,5.722598555,-2.480535142,0.033326788,0.117924958,-4.764620331
DPY30,-0.23301948,4.838833046,-2.448561593,0.035174188,0.122646795,-4.765597367
PLGRKT,-0.241951519,4.779531598,-2.444838735,0.035395764,0.123066832,-4.766489613
MAPK8,0.470882663,5.673863382,2.478568726,0.033437582,0.118091415,-4.767168254
ZNF566,-0.311141067,4.657979934,-2.436907852,0.035872399,0.124167362,-4.767751788
ZNF710,0.316483106,4.509542733,2.428278593,0.036398203,0.1255555,-4.768688344
TRIM46,-0.394843152,1.259414179,-2.05046834,0.068492815,0.197281191,-4.768922528
ATG4A,0.327513033,3.376522005,2.326747728,0.043184115,0.142421719,-4.769286745
RETSAT,-0.426920798,5.895539996,-2.479928104,0.033360952,0.118018179,-4.770249243
RP11-31F15.1,0.619717968,2.595654441,2.228810518,0.050895709,0.160928096,-4.774116998
BIRC6,-0.338604196,8.658533029,-2.423156363,0.036713902,0.126442242,-4.775721416
C9orf96,-0.484165432,0.992142638,-2.006874549,0.073607074,0.207449363,-4.776561237
PIR,0.401318812,3.881946354,2.373982117,0.039885216,0.134600344,-4.777120803
NECAP1,-0.288486717,5.688346468,-2.471153832,0.033858649,0.119118885,-4.77903087
NIPSNAP1,-0.509012328,6.136858001,-2.47726648,0.033511155,0.118244714,-4.779089387
RP11-517C16.2,0.598572194,-0.397472522,1.822141692,0.099544782,0.256640219,-4.779963827
PSMD10,0.333507621,5.947845568,2.475908872,0.033588027,0.118405246,-4.780335131
CTA-384D8.36,0.436921449,1.063501094,2.017953988,0.072273958,0.204493981,-4.782015828
COL16A1,-0.536248704,2.646709176,-2.224351276,0.051276994,0.161698551,-4.784082185
PPAP2B,-0.363053235,6.75486129,-2.472811849,0.033764042,0.118886919,-4.785477814
NUP153,0.205468501,6.384864015,2.475976278,0.033584206,0.118405246,-4.785496226
GRIA4,-0.333855443,6.657468171,-2.473579265,0.033720342,0.118760749,-4.786219523
C1QTNF3,-0.629504642,2.422192559,-2.193377092,0.054002832,0.167214922,-4.788763894
CASC4,-0.271239797,6.621167373,-2.471715861,0.03382655,0.119079239,-4.790118645
ZC3HAV1L,-0.542122764,3.023033831,-2.266473556,0.047783294,0.153760142,-4.790705965
SPRYD7,-0.339809916,3.138819206,-2.282655588,0.046503629,0.150605509,-4.79074817
AC006538.1,0.732006294,2.289910692,2.176523826,0.055544308,0.170331345,-4.791814491
ASAP2,-0.27178485,6.155203768,-2.470284722,0.033908345,0.119228155,-4.792713816
AC144831.1,-0.692853476,0.030348842,-1.864183276,0.092984332,0.244657225,-4.792785906
ZFAND6,-0.298340007,6.66855784,-2.46853835,0.034008422,0.119490397,-4.794603968
DEPDC7,0.669816968,2.047525182,2.142829785,0.058754348,0.177308452,-4.795721908
AC005592.1,-0.892742146,0.180864825,-1.878446211,0.090851523,0.240681597,-4.7962721
XPO7,0.267294397,6.245514695,2.469097174,0.033976366,0.119411699,-4.796294755
AP006222.2,-0.466064132,0.275760518,-1.895772773,0.088321959,0.236533817,-4.797233523
RP11-867G23.8,0.444226591,1.558736194,2.076667427,0.065583878,0.191326767,-4.797747648
ZNF529,-0.346919162,5.425144071,-2.451943822,0.034974073,0.122122053,-4.798731081
FBXO10,-0.259439697,3.779784498,-2.349924268,0.041533327,0.138612773,-4.798740501
PSME2,-0.266409256,6.150112224,-2.465664935,0.03417372,0.119909881,-4.800319331
ATP5C1,-0.405642114,7.603304332,-2.444848091,0.035395206,0.123066832,-4.800648573
GABRG2,0.411778743,2.216149869,2.163422409,0.056771876,0.173195526,-4.801469751
SYNGR1,-0.300575805,5.954673488,-2.462136113,0.03437781,0.120541938,-4.802227484
MYH10,0.354070109,7.74320857,2.438920132,0.035750867,0.123810619,-4.803907843
PPAP2A,-0.331661616,3.738469839,-2.340845534,0.042172478,0.14012625,-4.805866558
CTD-2012K14.7,0.713869541,0.009086054,1.855442159,0.094314368,0.247122961,-4.806881262
RP11-548H3.1,0.570027755,-0.125061117,1.837752358,0.097060259,0.252173937,-4.807253482
RP11-7F18.2,-0.459513303,1.09978691,-2.001360676,0.074279176,0.208830007,-4.807986452
KCNIP2,-0.377147532,2.186719409,-2.153369521,0.057731493,0.175167214,-4.808151054
RPL7L1,-0.258590795,7.279824838,-2.448895093,0.035154406,0.122609925,-4.808928388
ZIK1,0.230276132,5.449534624,2.447785223,0.035220282,0.122726261,-4.808969504
RP4-791M13.3,-0.74395718,0.091053975,-1.859943554,0.093627249,0.245706419,-4.809581731
CHMP2A,-0.43502727,5.524762453,-2.447363212,0.035245363,0.122756981,-4.810436714
TTBK1,0.520655234,3.464322599,2.310278947,0.044395976,0.145718038,-4.810509734
ARHGAP42,-0.48626145,6.179393418,-2.458864553,0.034568097,0.120984333,-4.810589503
RAD1,0.214965184,5.982432639,2.458155519,0.034609475,0.121044954,-4.810830376
LARS,-0.206984605,7.369097511,-2.445332007,0.035366327,0.123064708,-4.811196777
ZNF202,0.298899006,3.740575904,2.339810896,0.042245926,0.140246812,-4.811505909
ABCC4,-0.265997532,6.556319389,-2.459016028,0.034559264,0.120981468,-4.811968904
CLTC,-0.264818586,9.494604709,-2.366644835,0.040380943,0.135727083,-4.812013261
NUDT18,0.462223071,1.398807247,2.044243231,0.069201862,0.198755647,-4.813337579
ZRANB3,-0.429013347,4.766117476,-2.414280943,0.037267325,0.127794246,-4.814119499
HPS5,-0.225703842,4.529194731,-2.401180109,0.038099273,0.129968028,-4.814390745
NOP56,0.279733941,7.234697807,2.446629214,0.035289027,0.122880708,-4.814855111
ZCWPW2,-0.746857551,1.201078994,-2.007489209,0.07353251,0.207355358,-4.815250472
PIGP,-0.344667111,3.475609226,-2.306625775,0.044669266,0.146328684,-4.815295643
MIR210HG,0.526756486,1.315258357,2.030979932,0.07073593,0.201844775,-4.815474117
LRGUK,0.397968129,1.811139414,2.099854477,0.063108128,0.186404339,-4.815819624
DSCAM,-0.270339442,5.087133356,-2.429019462,0.036352763,0.125456094,-4.816798643
RP11-10A14.4,-0.770582028,-0.760144379,-1.745068751,0.112693644,0.2790078,-4.817685571
SLC35D3,-0.449786854,1.311562044,-2.025053688,0.071431773,0.203013991,-4.818001471
SNHG16,-0.365801444,7.078975275,-2.447590932,0.035231827,0.122738156,-4.818338955
LIN52,-0.24043631,4.388595395,-2.389134382,0.038880334,0.131946638,-4.818545216
CRY2,-0.307965558,4.708983121,-2.408593548,0.037626273,0.128761867,-4.819366931
RARRES3,-0.543356879,0.223672421,-1.872884128,0.091677771,0.242349338,-4.820654658
HSPB8,1.110148061,-0.971311053,1.717759299,0.117722048,0.287449743,-4.822007368
UBA6-AS1,-0.318298519,5.226817357,-2.430644995,0.036253259,0.125198571,-4.823003894
INPP4A,0.211775013,6.076191265,2.451278507,0.035013348,0.122230919,-4.823950737
RCN1,0.238149421,6.684569119,2.449797612,0.035100926,0.12248,-4.826033687
NSA2,-0.307479382,6.275076072,-2.450597065,0.035053621,0.122343216,-4.826423802
TBC1D19,0.311558923,4.048981373,2.358942698,0.040907825,0.136990641,-4.826813284
MTHFD2,0.28428688,5.582914612,2.440576017,0.035651165,0.123599985,-4.826960741
NCOA5,0.437960417,6.111072357,2.448306071,0.035189352,0.122646795,-4.828799232
FAM53A,0.483904338,1.785880603,2.087680416,0.064396626,0.189281075,-4.828978159
AGO1,-0.212782861,6.49055383,-2.449086731,0.035143043,0.122598622,-4.82924887
EIF2S3,-0.20228923,6.837695598,-2.445473951,0.03535786,0.123063616,-4.829635439
RHOBTB3,-0.220081544,8.281072527,-2.404170969,0.037907747,0.129490255,-4.830829469
IFIH1,-0.577884682,2.770399481,-2.209504676,0.052566498,0.164392473,-4.831367963
LIN54,0.268340871,5.950594161,2.444386939,0.035422748,0.123119129,-4.832803187
RP4-555D20.2,1.056865434,1.977933909,2.10571689,0.062496492,0.185140618,-4.833943194
C3orf58,-0.317121977,6.050536977,-2.441343041,0.035605075,0.123525306,-4.83869433
HSPA1A,0.878034822,4.584517872,2.386210097,0.039072312,0.132538551,-4.839546287
CTD-2319I12.4,0.49503913,1.079841775,1.981888329,0.076699485,0.214000387,-4.840132949
ETF1,-0.200227117,6.393518589,-2.442763373,0.035519883,0.123309399,-4.840175853
GAA,-0.497519698,6.174399449,-2.440808473,0.035637191,0.12357992,-4.840199566
CTA-293F17.1,-0.399844782,1.017744038,-1.969298367,0.078303814,0.216919816,-4.84109558
DNAH10OS,0.431442218,2.155210794,2.129559083,0.06006704,0.180091054,-4.842041019
SLC39A11,-0.347737472,4.84607389,-2.401253701,0.038094549,0.129968028,-4.843310718
ATP6AP1,-0.438393814,6.284946795,-2.439732064,0.035701946,0.123730282,-4.843469486
ATP6V1C1,-0.299687825,6.571920005,-2.439448378,0.035719031,0.123750006,-4.844039537
ASB16-AS1,0.323603,3.208500272,2.2613045,0.048199237,0.154768662,-4.844189338
FOSL2,0.51510736,3.424726182,2.284846216,0.046332982,0.150145375,-4.845118151
JMJD1C-AS1,-0.497778191,-0.286490409,-1.787617535,0.105249589,0.26643343,-4.845942099
MORN1,0.278067814,3.288444946,2.268880686,0.047590792,0.153271389,-4.846920984
NANOS1,0.356153109,1.60836328,2.05203226,0.068315772,0.196874109,-4.846992061
PLEKHB2,-0.364179821,7.407866762,-2.422163415,0.036775412,0.126596315,-4.847357453
DAP3,-0.234316036,5.965802626,-2.435145874,0.035979149,0.124451248,-4.847588559
LCLAT1,-0.255588614,5.249747104,-2.416744727,0.037112878,0.127409344,-4.847823904
RNASEK,0.525321013,0.11729024,1.842301882,0.096347063,0.250861747,-4.848082999
SLC16A1,-0.269999794,7.279032368,-2.424578337,0.036625991,0.126225876,-4.849134847
PLD3,-0.524385465,7.417662512,-2.420131153,0.036901621,0.126915009,-4.849606594
RP1-179N16.6,1.839104861,-1.526000311,1.624816839,0.136397231,0.31675634,-4.849708829
GPR19,0.382642316,3.062515104,2.240407043,0.049916987,0.158853897,-4.84993082
FAM161A,0.379855128,3.692576219,2.310786274,0.044358153,0.145661116,-4.850378751
CCS,-0.29260189,4.075484831,-2.34348967,0.04198534,0.139658156,-4.853123807
SLC16A9,-0.285707397,4.176803352,-2.350778906,0.041473651,0.138444219,-4.855130812
CCDC71L,0.290855794,4.796239777,2.39208641,0.038687476,0.131545736,-4.856135267
KIAA1191,-0.363490646,6.528048274,-2.43081786,0.036242694,0.125190724,-4.85836174
SERP1,-0.214019827,7.095663172,-2.423316365,0.036704,0.126436986,-4.858451383
GMPR,-0.671822795,1.287997892,-1.99251968,0.075368971,0.211075067,-4.858493472
ACTN2,-0.867898891,4.70526353,-2.379010212,0.039548961,0.133764636,-4.859623115
REPS1,0.246375226,5.692624519,2.42202719,0.036783859,0.126596522,-4.862020064
HIF1A-AS1,-0.513022035,-0.140320201,-1.795565153,0.103910235,0.263839361,-4.862640698
RP11-676J15.1,-0.404508346,2.91593756,-2.209481181,0.052568564,0.164392473,-4.86390351
ZNF674-AS1,0.345360364,2.670035316,2.182935976,0.05495288,0.169253975,-4.863923046
NDE1,0.271688578,7.201779614,2.417681475,0.037054321,0.127266036,-4.864039512
RP11-197M22.2,1.170247557,-0.390911572,1.761118286,0.109830818,0.274229649,-4.864072352
DCAF4,-0.410154419,3.229528626,-2.246847154,0.049381372,0.15759235,-4.864836566
SLITRK1,-0.480607228,4.221811423,-2.346094704,0.041801766,0.139170193,-4.865547768
ZDHHC20,0.276634975,3.948949957,2.325949017,0.043242134,0.142550779,-4.866640754
PSD3,0.270293544,7.543797517,2.406453869,0.037762194,0.129109927,-4.867592705
C12orf43,-0.333328326,3.783455872,-2.307390687,0.044611908,0.146267758,-4.86778048
RPIA,0.254572837,3.750292402,2.306242933,0.044698001,0.146391046,-4.867955173
HMGA2,-1.229400511,4.660218154,-2.36573041,0.040443146,0.135845413,-4.868175774
BTBD19,0.971822443,0.517068011,1.879692463,0.090667346,0.240450637,-4.868873179
RPL12,-0.36592012,8.532963891,-2.371134046,0.040076926,0.135055392,-4.869276788
NCL,0.277282676,8.989818728,2.3528034,0.041332623,0.138034502,-4.870174522
WWTR1,-0.428440024,5.883642729,-2.419043167,0.036969364,0.127032221,-4.870851925
CCDC112,0.433272636,4.22642874,2.345056883,0.041874806,0.139382622,-4.872205609
SLC39A6,-0.210694728,7.871973939,-2.393025117,0.038626347,0.13140967,-4.87278724
WBP2,-0.448583196,5.988598153,-2.419310686,0.036952696,0.127007534,-4.872813008
PPIP5K1,0.339007786,3.237715528,2.246906219,0.049376486,0.15759235,-4.872906626
PI4KA,0.453122646,6.700291527,2.420690366,0.03686685,0.126824317,-4.873136215
RSPH1,0.496009741,0.142790961,1.828289922,0.098559313,0.254795825,-4.873246829
KAZALD1,-0.388088901,1.881874078,-2.069197328,0.06640106,0.192940134,-4.875414386
DUS2,-0.2551449,3.753766723,-2.300243022,0.045150702,0.147423419,-4.875700864
NFIA,-0.280181016,8.192168974,-2.379715632,0.039502009,0.133635776,-4.876283557
AP5M1,-0.386719577,5.382642923,-2.403301938,0.037963299,0.129650678,-4.876618349
RP11-13K12.1,0.443540565,0.508873971,1.875290465,0.091319454,0.241582046,-4.878950575
PRRT4,0.602870798,2.557303725,2.156987675,0.05738433,0.174516335,-4.879917942
CTD-3131K8.2,0.574325263,0.669287895,1.895559426,0.088352702,0.236552686,-4.881953564
SRSF7,0.230523889,6.960739509,2.411599631,0.037436128,0.128314795,-4.882510391
RP11-57A19.2,0.579654219,-0.174802252,1.778906385,0.106735847,0.268708741,-4.882567227
TEX10,0.226205957,6.043564757,2.414980355,0.037223417,0.127701699,-4.883429608
EWSR1,0.206519303,8.089907994,2.37862302,0.039574755,0.133791923,-4.884477864
RP11-318A15.2,0.357597578,2.547813766,2.152654949,0.057800296,0.175340728,-4.886899221
KDSR,-0.220988477,5.178122723,-2.390450699,0.038794222,0.131752695,-4.886925719
RP5-1142A6.9,0.515071343,-0.257899772,1.764597618,0.109219045,0.273183345,-4.887419226
RRAGD,0.239436439,5.102488351,2.387670131,0.038976345,0.132242736,-4.887529606
CLIC4,-0.224328016,8.710197648,-2.353049084,0.041315541,0.138007987,-4.88787321
ALAD,-0.226659147,5.205955078,-2.390717084,0.038776818,0.131752695,-4.888224461
SNX14,-0.419176416,5.806085192,-2.406981634,0.037728624,0.129024372,-4.888462397
HSPA4,-0.277835955,7.530181458,-2.393594272,0.038589329,0.131330727,-4.889103949
CSAG3,-0.32545068,3.485940058,-2.262450593,0.04810671,0.154570199,-4.889283997
SLC25A6,-0.443879919,8.074892138,-2.375438788,0.039787513,0.134400682,-4.88975235
EFCAB5,0.501283975,0.798918918,1.908324548,0.086530746,0.233163445,-4.890797076
WBP1,-0.636577509,3.329906648,-2.238972335,0.050037076,0.159079542,-4.891051607
RP11-169E6.1,0.756576009,-0.611274693,1.714969278,0.118247107,0.288273122,-4.891286852
FAM49B,0.28415647,5.77921872,2.406064807,0.037786961,0.129165348,-4.891331018
CISH,0.464038268,1.75636702,2.042319151,0.069422427,0.19914654,-4.892781412
RP11-435O5.5,0.447892115,0.593465423,1.877655018,0.09096863,0.240865018,-4.893083989
FAM227B,-0.538855003,1.803657387,-2.04374286,0.069259158,0.198833584,-4.894875251
SCUBE3,0.4379604,4.937268645,2.375164075,0.039805921,0.134400682,-4.895164339
GAL3ST4,-0.35919615,4.889744691,-2.371639799,0.040042817,0.135011463,-4.895526368
GPR173,0.270205197,3.627904085,2.276585062,0.046979721,0.151835864,-4.895526489
DACH1,-0.414051353,3.799283708,-2.291030213,0.045854545,0.149143364,-4.895604908
TSFM,-0.294605369,4.270607543,-2.332783789,0.042748101,0.1414473,-4.896262409
ACTR5,0.286792065,3.526451143,2.264589981,0.047934455,0.154147977,-4.897276252
RAB28,-0.296770398,3.996093208,-2.30752381,0.044601933,0.146266823,-4.900673912
DIMT1,-0.233475892,4.295637049,-2.331742449,0.042823013,0.141664121,-4.901544056
SULT1A1,0.521998297,0.117401431,1.80519353,0.102308675,0.260869839,-4.901723699
LINC00957,-0.519093028,0.258138193,-1.821416549,0.099661611,0.256809835,-4.902019958
FAM227A,0.756805079,1.195708762,1.955791061,0.08006021,0.220089032,-4.902405078
C9orf78,-0.237732776,6.014986953,-2.401361326,0.038087641,0.129968028,-4.904452881
C11orf31,-0.271043584,4.067348334,-2.31077042,0.044359334,0.145661116,-4.905815652
PNMAL2,-0.39469284,4.288162435,-2.327220853,0.043149782,0.142339589,-4.906279359
CD151,-0.514690431,5.966731518,-2.398214985,0.038290091,0.13047154,-4.906534229
NAP1L1,0.287203445,7.460865025,2.385044313,0.039149105,0.132740406,-4.906739035
MAPK11,0.330967566,2.070770456,2.077124477,0.065534193,0.191326767,-4.906796912
IRX1,0.312789798,4.466768691,2.341279523,0.042141707,0.140054835,-4.9070366
YIPF4,-0.316731481,6.356705469,-2.40189493,0.038053411,0.129899648,-4.907118433
SUPT7L,-0.349183937,5.942017964,-2.398262508,0.038287025,0.13047154,-4.907249096
FASTKD2,-0.299814631,5.061414577,-2.372575261,0.039979802,0.134829113,-4.907801222
ARHGAP11B,0.657306412,4.884782485,2.363505326,0.040594899,0.136173334,-4.908433381
ARPC1A,0.418543118,6.626508864,2.399170361,0.038228506,0.130349966,-4.910024254
PDCL3,0.295221053,4.014545356,2.304822571,0.044804768,0.146648879,-4.910289931
MED28,-0.325444899,7.139875143,-2.390408171,0.038797001,0.131752695,-4.910737386
